m Ristrutturazioni, Via San Fili, 137;
Grassi Costruzioni, Via Vittorio Emanuele II, 47;
Adamo Bisconti S.r.l., Via Venezia, 4;
Adamo Bisconti S.r.l., Via Monte Bianco, 22;
Bisconti Vittorio, Via Paisiello, 7;
Cem Riabitare S.r.l., Via Unita' D'Italia, 3;
Davimar Costruzioni di Quarta Laura, Via Toti E., 23;
Ditta Greco Roberto Via Don Minzoni, 37;
Edil Se.Pi. S.r.l., Via Monfalcone, 35;
Greco Cosimo S.n.c. di Greco Massilimiliano & C., Via Crati, 7;
Quadrato Costruzioni S.r.l., Via Del Mare, 35;
La Meridionale Costruzioni di Montedoro Antonio & C. S.a.s., Via Ss. Medici, 5;
Pedone Lucio, Via Giovanni XXIII, 21;
Impresa Edile Smerillo Geom. Luigi, Via Rubichi, 101;
